miRNA,SRR18856083,SRR18856084,SRR18856085,SRR18856086,SRR18856087,SRR18856088,SRR18856089,SRR18856090,SRR18856091,SRR18856092,SRR18856093,SRR18856094,SRR18856095,SRR18856096,SRR18856097,SRR18856098,SRR18856099,SRR18856100,SRR18856101,SRR18856102,SRR18856103,SRR18856104,SRR18856105,SRR18856106,SRR18856107,SRR18856108,SRR18856109,SRR18856110,SRR18856111,SRR18856112,SRR18856113,SRR18856114,SRR18856115,SRR18856116,SRR18856117,SRR18856118,SRR18856119,SRR18856120,SRR18856121,SRR18856122,SRR18856123,SRR18856124,SRR18856125,SRR18856126,SRR18856127,SRR18856128,SRR18856129,SRR18856130
rno-miR-211-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-211-5p,2,1,0,9,0,0,0,0,0,0,0,2,0,0,7,5,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rno-miR-212-3p,5,4,2,6,2,1,0,11,9,2,2,12,0,0,9,4,12,1,3,5,1,2,5,2,0,1,0,4,4,11,2,1,4,5,6,0,5,1,3,1,4,0,3,2,0,3,1,11
rno-miR-212-5p,2,3,0,2,0,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
rno-miR-214-3p,192,148,80,1414,25,22,82,20,89,32,61,705,8,59,768,1242,21,62,6,62,20,6,29,22,43,16,38,1216,78,23,57,26,15,26,24,39,88,37,94,6,18,6,16,7,30,17,13,63
rno-miR-214-5p,0,0,1,4,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
rno-miR-216a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-216a-5p,2,0,5,1,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
rno-miR-216b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-216b-5p,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-217-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-217-5p,0,6,30,4,3,37,1,0,2,0,2,13,0,3,6,2,0,8,1,3,8,1,0,2,1,0,0,1,6,0,1,2,0,0,1,15,0,1,2,3,0,0,0,0,15,0,0,3
rno-miR-218a-1-3p,3,2,2,4,0,1,0,0,0,0,1,7,0,0,4,12,0,0,1,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2
rno-miR-218a-2-3p,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-218a-5p,762,385,327,669,35,18,28,7,34,4,39,1646,28,185,1395,774,3,91,4,10,107,4,14,24,202,56,256,471,239,1,6,12,6,11,3,172,6,399,558,41,0,37,10,2,85,7,3,35
rno-miR-218b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-219a-1-3p,0,0,2,0,2,1,0,0,0,0,2,0,0,0,3,0,0,1,2,1,0,0,0,0,3,0,0,2,3,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0
rno-miR-219a-2-3p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0
rno-miR-219a-5p,0,0,0,2,0,2,0,0,0,0,0,1,1,0,3,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-219b,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-22-3p,7845,5287,3817,16139,739,687,821,1879,2249,1338,1892,18847,703,2720,27084,7847,2796,2033,910,1392,843,843,2200,609,3913,1117,4868,4804,5576,4825,1049,942,1374,1605,986,2382,833,4021,6917,620,837,377,932,331,991,926,630,1581
rno-miR-22-5p,95,39,35,257,10,10,12,20,42,10,27,189,6,41,490,127,57,23,8,9,2,11,27,3,24,6,20,88,33,79,17,17,22,16,14,18,11,12,57,10,13,4,4,4,9,5,5,11
rno-miR-221-3p,606,217,414,1208,156,121,62,215,228,93,272,1198,6,226,1975,929,89,224,260,101,269,103,383,107,211,13,214,468,169,170,136,111,158,114,124,544,123,476,773,202,136,91,110,117,296,178,109,350
rno-miR-221-5p,7,7,4,10,0,0,0,0,0,0,3,16,4,1,26,7,0,3,0,0,4,0,0,0,3,4,6,5,5,0,0,0,0,0,0,3,0,4,6,4,0,1,0,0,2,0,0,1
rno-miR-222-3p,141,58,79,389,19,14,13,16,32,12,47,287,3,41,548,252,9,31,30,11,50,20,27,20,51,10,61,182,51,15,17,16,16,19,19,77,25,75,152,38,19,12,9,14,37,14,6,43
rno-miR-222-5p,3,0,1,2,0,0,0,1,0,0,0,7,0,2,2,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1
rno-miR-223-3p,642,531,539,743,1013,797,30,3357,1979,653,1940,2403,50,270,1926,1623,5061,2579,1144,1578,529,1106,2569,759,289,101,282,840,568,5894,3429,1010,1637,749,1520,992,2880,389,562,989,1522,185,1338,790,391,1978,558,3691
