Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR18856093_1 - illumina_small_rna_3'_adapter	(1, 5.106099123068324e-05)	(2, 0.5430438539365624)	(3, 0.5919398591390647)	(4, 0.7014146243376496)	(5, 1.0711268374425347)	(6, 1.167928264617664)	(7, 1.3136971823830186)	(8, 1.4296158446749156)	(9, 1.684257007942333)	(10, 1.889777497645833)	(11, 2.2712643753285136)	(12, 3.0569806961880213)	(13, 4.060022807923563)	(14, 5.194373364707929)	(15, 6.729859068600544)	(16, 7.8200010191773845)	(17, 9.603918869803765)	(18, 11.925519170287487)	(19, 15.060459787886515)	(20, 19.694591956811387)	(21, 36.62447633123919)	(22, 43.423533255155554)	(23, 50.73969504946329)	(24, 53.513471063889455)	(25, 55.28437857395026)	(26, 56.86817818774534)	(27, 58.50486677625717)	(28, 59.562799453565695)	(29, 60.813793738717436)	(30, 62.08680552328784)	(31, 63.80215867488967)	(32, 72.98056588037166)	(33, 80.38773878544896)	(34, 91.34583599148344)	(35, 92.53546517737414)	(36, 93.81805600389943)	(37, 95.84714831001905)	(38, 96.5878084122166)	(39, 96.88386003937211)	(40, 97.01746622902631)	(41, 97.11233755073293)	(42, 97.21479653573641)	(43, 97.44154818559363)	(44, 97.60585224317572)	(45, 97.66181508956456)	(46, 97.6932788723609)	(47, 97.70177542130169)	(48, 97.70611560555629)	(49, 97.70829080378272)	(50, 97.71132382666183)	(51, 97.71355008587948)	(52, 97.71658310875858)	(53, 97.71903403633766)	(54, 97.72012674154999)	(55, 97.72042289529914)	(56, 97.72064756366055)	(57, 97.72074968564301)	(58, 97.7209028686167)	(59, 97.72102541499565)	(60, 97.72108668818512)	(61, 97.72148496391672)	(62, 97.72150538831322)	(63, 97.72153602490796)
SRR18856094_1 - illumina_small_rna_3'_adapter	(1, 0.0008540331123174379)	(2, 1.0664602208184382)	(3, 1.1541439821692423)	(4, 1.3495812830103104)	(5, 1.7581997854196378)	(6, 2.1346739351547193)	(7, 2.659313744418235)	(8, 3.3013467647908312)	(9, 4.182245578311702)	(10, 5.929933488082922)	(11, 8.202088583403466)	(12, 10.531009624317194)	(13, 12.569650261629409)	(14, 14.22224976125686)	(15, 15.681310820899354)	(16, 16.706186897514847)	(17, 18.625081189929787)	(18, 20.866454751372334)	(19, 24.35606130467731)	(20, 31.14556094939045)	(21, 46.719254512679164)	(22, 52.68383085456279)	(23, 59.292684325103515)	(24, 66.76285744579229)	(25, 71.4061264519585)	(26, 74.95510647748682)	(27, 76.59376888355794)	(28, 78.49833540769497)	(29, 80.08501990487707)	(30, 81.68452398420257)	(31, 83.3174534658708)	(32, 84.94880207773537)	(33, 86.87560071916856)	(34, 89.78004922319784)	(35, 91.38740313878974)	(36, 92.39678850842118)	(37, 93.19060320086159)	(38, 93.86437172826956)	(39, 94.47833068143937)	(40, 95.15562436680031)	(41, 97.44654093421592)	(42, 97.64206000418476)	(43, 97.7166697905502)	(44, 97.7761432028186)	(45, 97.82151598327512)	(46, 97.85508675295611)	(47, 97.89287317544684)	(48, 97.90053221708177)	(49, 97.90949047930246)	(50, 97.92048388425889)	(51, 97.92384550395631)	(52, 97.92491758807603)	(53, 97.92611686861673)	(54, 97.9268073634735)	(55, 97.92729797824015)	(56, 97.92775225117222)	(57, 97.92800664401419)	(58, 97.92839731873579)	(59, 97.92856994244998)	(60, 97.92872439524689)	(61, 97.9290333008407)	(62, 97.92915141180305)	(63, 97.92920592455489)
SRR18856095_1 - illumina_small_rna_3'_adapter	(1, 0.1133567143508538)	(2, 23.964501819019365)	(3, 24.291143387850795)	(4, 24.57783919792316)	(5, 25.280438349458247)	(6, 25.893796976106064)	(7, 27.449726775259638)	(8, 29.30909560677395)	(9, 31.031798948746616)	(10, 32.98826997043589)	(11, 34.75967314170418)	(12, 36.45745287994047)	(13, 37.82032567692125)	(14, 38.62805866587115)	(15, 39.383777177458185)	(16, 40.067742057487045)	(17, 40.794712371413965)	(18, 41.92415745258247)	(19, 44.32270903636806)	(20, 51.651417160782955)	(21, 63.413403331901236)	(22, 68.16679989002168)	(23, 71.85532326105276)	(24, 74.7542804642717)	(25, 77.62769787917767)	(26, 80.61054117579066)	(27, 82.37272282615393)	(28, 84.4551717221424)	(29, 86.36763866596465)	(30, 88.2087556853651)	(31, 89.97633426270966)	(32, 91.6448133619413)	(33, 93.0570021727943)	(34, 94.37113264499142)	(35, 95.246029752791)	(36, 95.84921071005286)	(37, 96.28857156091452)	(38, 96.66070454969443)	(39, 96.8870780144918)	(40, 97.07339948181001)	(41, 97.24559119935441)	(42, 97.36096644938723)	(43, 97.42398725815286)	(44, 97.47574676258748)	(45, 97.50831955417134)	(46, 97.53932001269766)	(47, 97.55999406762987)	(48, 97.56641088632415)	(49, 97.57153159263315)	(50, 97.57707725382258)	(51, 97.57864958688012)	(52, 97.58000944249744)	(53, 97.58085935225827)	(54, 97.58158177555498)	(55, 97.58230419885169)	(56, 97.58279289696416)	(57, 97.5831328608685)	(58, 97.58357906349293)	(59, 97.583642806725)	(60, 97.58379154093313)	(61, 97.58400401837335)	(62, 97.58423774355758)	(63, 97.58434398227769)
SRR18856096_1 - illumina_small_rna_3'_adapter	(1, 0.0019464787055229616)	(2, 0.7101212312737298)	(3, 0.7335553082382612)	(4, 0.7950029693341821)	(5, 0.9197302714841633)	(6, 1.08636411517658)	(7, 1.3399406743823556)	(8, 1.6369122588465548)	(9, 2.0300246248639375)	(10, 2.7444968085382477)	(11, 3.6968973892758945)	(12, 4.8765779835701935)	(13, 5.886647766740099)	(14, 6.721763463907704)	(15, 7.323874210149475)	(16, 7.782708857165103)	(17, 8.519889959070515)	(18, 9.637474066033718)	(19, 11.94855494947552)	(20, 19.919805077332455)	(21, 47.41950356396434)	(22, 52.92716047686438)	(23, 57.846255661963056)	(24, 62.83866821163643)	(25, 66.35984818992748)	(26, 68.96209938796603)	(27, 70.6481316094402)	(28, 72.80021189901515)	(29, 74.46834414964833)	(30, 76.24849434147191)	(31, 78.22527704880243)	(32, 80.2890024716463)	(33, 82.68931604554913)	(34, 86.04741164131664)	(35, 88.10148100313116)	(36, 89.32146515650452)	(37, 90.34905324802413)	(38, 91.305995612408)	(39, 92.29980657344942)	(40, 93.47204474916377)	(41, 97.23058063078123)	(42, 97.43171676368527)	(43, 97.54591018107595)	(44, 97.6415929676396)	(45, 97.71254402476836)	(46, 97.78227376192504)	(47, 97.87005613491922)	(48, 97.87971219594857)	(49, 97.89570385433316)	(50, 97.91497781014276)	(51, 97.92066458126281)	(52, 97.92264922621746)	(53, 97.92478653616863)	(54, 97.92574069239683)	(55, 97.92654218362851)	(56, 97.92719100986369)	(57, 97.92745817360758)	(58, 97.92814516609188)	(59, 97.92833599733753)	(60, 97.92860316108141)	(61, 97.92921382106746)	(62, 97.92932831981484)	(63, 97.92951915106049)
SRR18856097_1 - illumina_small_rna_3'_adapter	(1, 0.004091388583999536)	(2, 3.1975796732048445)	(3, 3.2191738834600554)	(4, 3.30183380197069)	(5, 3.817626145831513)	(6, 3.8830467558339734)	(7, 3.958605688056446)	(8, 4.369991342899138)	(9, 4.467588297019833)	(10, 5.130351640286225)	(11, 5.29678100641502)	(12, 5.477980978787745)	(13, 5.722646016110917)	(14, 5.980902785001274)	(15, 6.2383135379471435)	(16, 6.519703988729403)	(17, 7.086479195081013)	(18, 7.891262264110645)	(19, 9.441107997957356)	(20, 12.209050262500718)	(21, 15.66325014916232)	(22, 20.317988268393982)	(23, 27.639340906424255)	(24, 40.829506151368065)	(25, 47.24343040880877)	(26, 50.39759975568169)	(27, 52.82236466726748)	(28, 55.51076756391512)	(29, 58.19044678795484)	(30, 61.36365842813566)	(31, 64.57613352960904)	(32, 68.39606194833866)	(33, 73.83821900606718)	(34, 81.97977716772169)	(35, 85.61729900117416)	(36, 89.14040064541308)	(37, 90.95514645368146)	(38, 92.42209649408218)	(39, 93.5799733324679)	(40, 94.56486071387657)	(41, 95.55901266333309)	(42, 96.01816354625474)	(43, 96.27635096957587)	(44, 96.60454967958187)	(45, 97.03959604264253)	(46, 97.18218440207337)	(47, 97.2657180747562)	(48, 97.30900357906351)	(49, 97.34366249455984)	(50, 97.36403622279677)	(51, 97.37572788576732)	(52, 97.3846873333106)	(53, 97.39187153428182)	(54, 97.39901412791151)	(55, 97.40481141749832)	(56, 97.41026197923905)	(57, 97.41457527364454)	(58, 97.4216069143635)	(59, 97.42364567409857)	(60, 97.42611437636282)	(61, 97.43492126365379)	(62, 97.43755639528416)	(63, 97.44039956362221)
SRR18856098_1 - illumina_small_rna_3'_adapter	(1, 0.006935191473265842)	(2, 2.3697080217383073)	(3, 2.396276170715601)	(4, 2.4727978003046793)	(5, 2.749736412469005)	(6, 2.8299601611778704)	(7, 2.908140206119251)	(8, 3.1017225072425845)	(9, 3.20472852745783)	(10, 3.5592776277758773)	(11, 3.8292642967967123)	(12, 4.129470978903951)	(13, 4.487839460033363)	(14, 4.9228300807732035)	(15, 5.340817756234386)	(16, 5.825845615937137)	(17, 6.89616008164094)	(18, 8.06599622015313)	(19, 10.0696969991393)	(20, 13.410599853858429)	(21, 17.254270587048882)	(22, 22.094096141855825)	(23, 28.37165054541763)	(24, 37.12786583386296)	(25, 42.42460994573464)	(26, 45.71998176078146)	(27, 48.499284871198086)	(28, 51.65888439906901)	(29, 54.891856242526664)	(30, 58.35672145691286)	(31, 62.00062852266685)	(32, 66.54269313921945)	(33, 71.74988282206678)	(34, 79.50464976110443)	(35, 83.97399537720908)	(36, 88.88414444362175)	(37, 91.01272892413738)	(38, 92.82842570818524)	(39, 93.9824147666643)	(40, 95.13226616259774)	(41, 96.06384329549577)	(42, 96.5286351375664)	(43, 96.76578853294568)	(44, 97.01644377452654)	(45, 97.37608538259308)	(46, 97.47306080152721)	(47, 97.55765673616487)	(48, 97.60072528031408)	(49, 97.63050974997462)	(50, 97.64312375765425)	(51, 97.65012595580842)	(52, 97.6562068121002)	(53, 97.66103129312508)	(54, 97.66459939888307)	(55, 97.66689437770393)	(56, 97.66898833648209)	(57, 97.67121630862205)	(58, 97.6736955558154)	(59, 97.67441587763508)	(60, 97.67513619945477)	(61, 97.67803423840374)	(62, 97.67835252013802)	(63, 97.67863729853185)
SRR18856099_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.2655819843003708)	(3, 0.2737375620335407)	(4, 0.3100824537433818)	(5, 0.3798737391533658)	(6, 0.42821045596215357)	(7, 0.4846459172098035)	(8, 0.5334373003730537)	(9, 0.5931406760434025)	(10, 0.6928831075535995)	(11, 0.8971703839430031)	(12, 1.2023083410816058)	(13, 1.5639385927621663)	(14, 2.081917237083497)	(15, 2.6655667529774965)	(16, 3.1248081876317113)	(17, 3.9518462863988835)	(18, 5.524935039544606)	(19, 7.387902010307286)	(20, 12.246296174209961)	(21, 16.461763696255595)	(22, 20.1363203397267)	(23, 33.17802688442154)	(24, 39.601070057265225)	(25, 43.94083199396203)	(26, 47.83203715533449)	(27, 51.25496438825779)	(28, 55.002892814680266)	(29, 58.472878015290426)	(30, 62.779761891230166)	(31, 67.39269305701744)	(32, 77.77261226280625)	(33, 87.27027982440785)	(34, 90.88013176230952)	(35, 92.72994182543995)	(36, 94.25838802590688)	(37, 95.58325736616328)	(38, 96.18506511958861)	(39, 96.66755137161472)	(40, 96.88738255399731)	(41, 97.06762934689452)	(42, 97.19237842790015)	(43, 97.33747382826797)	(44, 97.43360734558962)	(45, 97.45227708276974)	(46, 97.4666559062296)	(47, 97.47265181877908)	(48, 97.47589131655462)	(49, 97.47736898220663)	(50, 97.48975864036574)	(51, 97.49049747319174)	(52, 97.49098055619335)	(53, 97.49117947272343)	(54, 97.4913215559592)	(55, 97.49149205584212)	(56, 97.49160572243073)	(57, 97.49160572243073)	(58, 97.49160572243073)	(59, 97.49160572243073)	(60, 97.49177622231366)	(61, 97.49197513884374)	(62, 97.49203197213805)	(63, 97.4920603887852)
SRR18856100_1 - illumina_small_rna_3'_adapter	(1, 1.5613358289725225e-05)	(2, 0.09250914786662195)	(3, 0.09775523625196962)	(4, 0.13112098291711244)	(5, 0.21490226349977798)	(6, 0.28775419327963586)	(7, 0.3812313693602208)	(8, 0.44808776955682417)	(9, 0.5331649588775369)	(10, 0.6878933395287139)	(11, 1.0617083637013152)	(12, 1.9646444869544146)	(13, 3.050662849512832)	(14, 4.14178678023199)	(15, 6.186137461255451)	(16, 7.247908278389925)	(17, 8.88412577371997)	(18, 11.782402246325084)	(19, 13.913937920038371)	(20, 18.72396082171231)	(21, 26.552092720865005)	(22, 29.873522429838253)	(23, 40.76871120470799)	(24, 45.79065421844837)	(25, 49.89417265751224)	(26, 52.92183703026431)	(27, 55.138606026881206)	(28, 57.28481825738684)	(29, 60.28921872628721)	(30, 63.81218566406423)	(31, 68.92532630357489)	(32, 79.01972154512292)	(33, 86.88199985885524)	(34, 93.18967170103791)	(35, 94.85229138523589)	(36, 96.1750707128997)	(37, 96.95772152388875)	(38, 97.3779550622567)	(39, 97.59657330502944)	(40, 97.72839688906959)	(41, 97.83136698699033)	(42, 97.90681073424628)	(43, 97.96678164343712)	(44, 97.98498681920293)	(45, 97.99026413430487)	(46, 97.99458903455111)	(47, 97.99605669023035)	(48, 97.99683735814483)	(49, 97.99724330546037)	(50, 97.99866412106473)	(51, 97.99891393479737)	(52, 97.99899200158882)	(53, 97.9990076149471)	(54, 97.99902322830539)	(55, 97.99902322830539)	(56, 97.99902322830539)	(57, 97.99907006838026)	(58, 97.99907006838026)	(59, 97.99907006838026)	(60, 97.99908568173855)	(61, 97.99916374853001)	(62, 97.99916374853001)	(63, 97.99916374853001)
SRR18856101_1 - illumina_small_rna_3'_adapter	(1, 1.8017779404182667e-05)	(2, 0.1748355224484865)	(3, 0.18787138584741264)	(4, 0.22081689548796066)	(5, 0.3324280300071702)	(6, 0.361706921538967)	(7, 0.4131116461791002)	(8, 0.45279580531681246)	(9, 0.5824427370196088)	(10, 0.6614326819275457)	(11, 0.8234755809990625)	(12, 1.1805519332311545)	(13, 1.735850885578362)	(14, 2.2476008651056603)	(15, 2.9349971671546333)	(16, 3.682068354590259)	(17, 4.842692623800388)	(18, 6.473076437636366)	(19, 8.82235163191983)	(20, 13.714376935728868)	(21, 25.905026302804817)	(22, 29.49263644886865)	(23, 37.44914369152048)	(24, 41.56112527158424)	(25, 44.21095504410888)	(26, 46.73085860934995)	(27, 49.442354231885396)	(28, 51.54752455080099)	(29, 53.82339531179181)	(30, 56.33669536088126)	(31, 59.63784984108769)	(32, 69.42904449823953)	(33, 76.53033784147183)	(34, 84.66287878890253)	(35, 87.34632973779536)	(36, 90.55428725403367)	(37, 94.37255200314014)	(38, 95.55880656355272)	(39, 96.05030455902971)	(40, 96.6602244096407)	(41, 96.90523017397878)	(42, 97.2495139028339)	(43, 97.6673642249963)	(44, 97.7573540242305)	(45, 97.78493924449829)	(46, 97.81438930493444)	(47, 97.83556019573435)	(48, 97.8444429609806)	(49, 97.84815462353787)	(50, 97.8516861083011)	(51, 97.85410949963095)	(52, 97.85504642415997)	(53, 97.85575812644643)	(54, 97.85642478428439)	(55, 97.85679414876218)	(56, 97.85711846879146)	(57, 97.85728963769579)	(58, 97.85740675326191)	(59, 97.85751485993835)	(60, 97.85757792216626)	(61, 97.85767701995297)	(62, 97.85769503773238)	(63, 97.85771305551178)
SRR18856102_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.05883453541358602)	(3, 0.06134532395811329)	(4, 0.07597549566949331)	(5, 0.12836406433895645)	(6, 0.1903612276307451)	(7, 0.26131514621118385)	(8, 0.3138485680659082)	(9, 0.3713552826146)	(10, 0.44467513655430485)	(11, 0.5772882276609228)	(12, 0.8567583064248423)	(13, 1.3121767208860187)	(14, 1.9295409964692036)	(15, 3.1612276307450884)	(16, 3.7031716812022815)	(17, 4.5378640190723365)	(18, 6.229435374354951)	(19, 8.02194525756707)	(20, 11.893508766635483)	(21, 15.716208467875788)	(22, 17.962760660289103)	(23, 27.598177264085464)	(24, 31.703002685819477)	(25, 35.24830853728461)	(26, 37.70905030630413)	(27, 39.92701813682591)	(28, 42.34891510999789)	(29, 45.31743971995051)	(30, 50.94901771433745)	(31, 56.80333162326101)	(32, 73.93755620605366)	(33, 82.72386758004647)	(34, 90.62814376678637)	(35, 92.49638772369255)	(36, 95.27179889549446)	(37, 96.16192171892446)	(38, 96.81875848749132)	(39, 97.02254277695627)	(40, 97.164088481154)	(41, 97.26188852340285)	(42, 97.33921598213477)	(43, 97.4126082626671)	(44, 97.44140990433654)	(45, 97.44891812777259)	(46, 97.45490539276338)	(47, 97.45661948878897)	(48, 97.45756103449317)	(49, 97.45826115822193)	(50, 97.460796088964)	(51, 97.46130307511241)	(52, 97.46144792829767)	(53, 97.4615203548903)	(54, 97.46161692368048)	(55, 97.4616893502731)	(56, 97.46171349247065)	(57, 97.4617376346682)	(58, 97.46176177686574)	(59, 97.46181006126082)	(60, 97.46183420345837)	(61, 97.46188248785346)	(62, 97.461906630051)	(63, 97.461906630051)
SRR18856103_1 - illumina_small_rna_3'_adapter	(1, 1.8419079366523656e-05)	(2, 0.10187592797624233)	(3, 0.1122090315008621)	(4, 0.16214315566350773)	(5, 0.3788988816487581)	(6, 0.42006552403293845)	(7, 0.47029435346544846)	(8, 0.5079245326112563)	(9, 0.6093399836033355)	(10, 0.7941017687289343)	(11, 1.2540445995903966)	(12, 2.101230155053652)	(13, 3.0618588203353267)	(14, 4.022432228378902)	(15, 5.493785126335545)	(16, 6.494898928064838)	(17, 7.90887639379476)	(18, 10.444133735041175)	(19, 12.753149524428581)	(20, 18.76233732959819)	(21, 29.617621754258906)	(22, 32.697273405262294)	(23, 37.43688932693553)	(24, 41.53360570239962)	(25, 44.19133150235405)	(26, 46.63419874149798)	(27, 48.568257332221066)	(28, 50.21425994073109)	(29, 52.02155842725375)	(30, 55.295733975447)	(31, 60.04037830578729)	(32, 71.6823600292716)	(33, 78.64241438765863)	(34, 89.21745251975769)	(35, 91.42114801332731)	(36, 93.65807152607414)	(37, 94.89419436144091)	(38, 95.64362986270602)	(39, 96.07108143756494)	(40, 96.36418424752443)	(41, 96.55870814471429)	(42, 96.77505865095347)	(43, 97.01264635570226)	(44, 97.07748151507242)	(45, 97.09886606621696)	(46, 97.1148538271071)	(47, 97.12198201082195)	(48, 97.12516851155236)	(49, 97.12719461028267)	(50, 97.12993905310829)	(51, 97.13115471234647)	(52, 97.13203882815607)	(53, 97.13253614329896)	(54, 97.13294136304502)	(55, 97.1331808110768)	(56, 97.13334658279109)	(57, 97.13349393542602)	(58, 97.13364128806096)	(59, 97.13371496437843)	(60, 97.13380705977525)	(61, 97.13421227952132)	(62, 97.13423069860069)	(63, 97.13426753675942)
SRR18856104_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.06725739555352543)	(3, 0.07053487828119145)	(4, 0.08607704637396561)	(5, 0.13230680274314954)	(6, 0.19859820338746814)	(7, 0.26594184848645847)	(8, 0.31327559903759306)	(9, 0.3667675671349212)	(10, 0.4605035731461695)	(11, 0.6778869275358919)	(12, 1.151172683319959)	(13, 1.8128274463993574)	(14, 2.586882617128608)	(15, 3.8247188437316937)	(16, 4.60529448009809)	(17, 5.657987432406231)	(18, 7.644021216008191)	(19, 9.482430277592437)	(20, 14.623368934845713)	(21, 21.307122211465945)	(22, 24.962912695450093)	(23, 35.52251354635361)	(24, 40.243123668738264)	(25, 44.24329133785465)	(26, 47.39579847414204)	(27, 50.55189359152077)	(28, 53.57640640233826)	(29, 57.529171321267135)	(30, 62.439081946038144)	(31, 67.25637780888894)	(32, 80.31685323018348)	(33, 87.6143410224228)	(34, 92.04389342868163)	(35, 93.68953475615183)	(36, 95.24031883351975)	(37, 96.24472929027664)	(38, 96.80876681779887)	(39, 97.09132032874187)	(40, 97.27694660049141)	(41, 97.4654363571504)	(42, 97.60888660116761)	(43, 97.78819940618914)	(44, 97.84264011928657)	(45, 97.8551290534699)	(46, 97.86697974101676)	(47, 97.86987772574439)	(48, 97.87108521938089)	(49, 97.87206846419919)	(50, 97.87681218919977)	(51, 97.87751943547258)	(52, 97.87789893347262)	(53, 97.87812318229084)	(54, 97.8781921819272)	(55, 97.87822668174539)	(56, 97.87827843147267)	(57, 97.87827843147267)	(58, 97.87831293129085)	(59, 97.87831293129085)	(60, 97.87833018119994)	(61, 97.8784509305636)	(62, 97.8784681804727)	(63, 97.8784681804727)
SRR18856105_1 - illumina_small_rna_3'_adapter	(1, 0.00010775200230158277)	(2, 0.20132863007815732)	(3, 0.21102631028529978)	(4, 0.23282813208432002)	(5, 0.3262730629691926)	(6, 0.3468297505193946)	(7, 0.37843700452785883)	(8, 0.4038664770710324)	(9, 0.5039680872092028)	(10, 0.5550185914107527)	(11, 0.6425132172796378)	(12, 0.8105943684254068)	(13, 1.0518271566892503)	(14, 1.3337662569336917)	(15, 1.7353579695116907)	(16, 2.0725977918262446)	(17, 2.662204775975805)	(18, 3.507124143356616)	(19, 4.671947233126126)	(20, 7.151428558087847)	(21, 14.405425049922101)	(22, 17.4757345483928)	(23, 24.688007070446943)	(24, 27.665206866484375)	(25, 29.83988172182432)	(26, 31.95729237416332)	(27, 34.51237968740665)	(28, 36.79431567481547)	(29, 39.68545753834804)	(30, 44.078051719284964)	(31, 48.456051490132374)	(32, 67.11586081937257)	(33, 76.96077815143778)	(34, 86.25752513046073)	(35, 88.53627644757931)	(36, 91.37161474636436)	(37, 93.44108773012385)	(38, 94.98786772316308)	(39, 95.44642432762451)	(40, 95.91196086734615)	(41, 96.21157129596806)	(42, 96.59895171668694)	(43, 97.21901660015375)	(44, 97.41528088612374)	(45, 97.51371832644858)	(46, 97.58421208084322)	(47, 97.61346076324574)	(48, 97.62527756616481)	(49, 97.63175465874761)	(50, 97.64376302078189)	(51, 97.65051547959278)	(52, 97.65652564683228)	(53, 97.66214072339666)	(54, 97.6650859447929)	(55, 97.66642685859932)	(56, 97.66706139816843)	(57, 97.66750437862234)	(58, 97.66797130396564)	(59, 97.66853400886656)	(60, 97.66897698932046)	(61, 97.67015028890107)	(62, 97.67036579290568)	(63, 97.67046157246328)
SRR18856106_1 - illumina_small_rna_3'_adapter	(1, 5.6599646082413045e-05)	(2, 0.26389584985925085)	(3, 0.27275369447114844)	(4, 0.29595954936493785)	(5, 0.3563230719118313)	(6, 0.4627870061928503)	(7, 0.7619161357384032)	(8, 0.8465043068085695)	(9, 0.9289982909736866)	(10, 1.0819305346883665)	(11, 1.4401213949209175)	(12, 2.2665328273702303)	(13, 3.3255405053952196)	(14, 4.722929167523915)	(15, 7.026110265732508)	(16, 8.466967456052497)	(17, 10.308748239397259)	(18, 12.918048523442582)	(19, 15.971514530119643)	(20, 21.05356845203647)	(21, 31.754156041262274)	(22, 36.82039036209907)	(23, 52.15097049998146)	(24, 56.2546429397177)	(25, 59.513509062027836)	(26, 62.73162343915863)	(27, 65.83178415385369)	(28, 68.31928199952965)	(29, 70.89337730371172)	(30, 74.61760571611146)	(31, 78.63711448212314)	(32, 84.21260411858644)	(33, 87.95746310198322)	(34, 93.01223599448832)	(35, 94.33610171635597)	(36, 95.88098905617544)	(37, 97.02580179766136)	(38, 97.4400263075155)	(39, 97.62720133711004)	(40, 97.75723902398438)	(41, 97.842138493108)	(42, 97.90470940185212)	(43, 97.94993251907196)	(44, 97.98151512158594)	(45, 97.99597633116)	(46, 98.0059378688705)	(47, 98.0104658405571)	(48, 98.01233362887781)	(49, 98.01309772409994)	(50, 98.014512715252)	(51, 98.01488061295153)	(52, 98.01536170994322)	(53, 98.01575790746581)	(54, 98.01581450711188)	(55, 98.01589940658101)	(56, 98.01592770640406)	(57, 98.01592770640406)	(58, 98.01592770640406)	(59, 98.01592770640406)	(60, 98.0159560062271)	(61, 98.01598430605013)	(62, 98.01598430605013)	(63, 98.01598430605013)
SRR18856107_1 - illumina_small_rna_3'_adapter	(1, 0.002046278774956634)	(2, 0.6890927638550685)	(3, 0.7210616765195549)	(4, 0.7670526306255474)	(5, 0.8968068322900107)	(6, 0.9763768856375047)	(7, 1.1158257523177462)	(8, 1.3458476139550846)	(9, 1.623906708473372)	(10, 2.1489281692413438)	(11, 2.807159023703624)	(12, 3.6137618621271033)	(13, 4.174710610894723)	(14, 4.682992840372476)	(15, 5.061889869276332)	(16, 5.447361826702998)	(17, 6.262753600192686)	(18, 7.468850437484338)	(19, 9.671350855965121)	(20, 15.98160496017975)	(21, 36.42892820949601)	(22, 41.28182927929726)	(23, 46.42996476710496)	(24, 52.8051630632592)	(25, 57.26407160499708)	(26, 60.4797483815109)	(27, 62.77104388060332)	(28, 65.6460320138637)	(29, 68.13494436973104)	(30, 70.74384917113969)	(31, 73.56298395750986)	(32, 76.08165121949828)	(33, 79.4264448321565)	(34, 86.41431912086496)	(35, 88.82463424444175)	(36, 90.64448053200564)	(37, 91.95205266920293)	(38, 93.09344013343079)	(39, 94.19111774120343)	(40, 95.06293313599602)	(41, 96.6394735226622)	(42, 97.03729024384599)	(43, 97.24554104113993)	(44, 97.39512066503389)	(45, 97.5187024848198)	(46, 97.63332764177106)	(47, 97.76217611348595)	(48, 97.78465163445678)	(49, 97.81306471843037)	(50, 97.84141071129656)	(51, 97.84989773637959)	(52, 97.85382256616106)	(53, 97.85637202824132)	(54, 97.85872021699947)	(55, 97.86019622136175)	(56, 97.86126967907975)	(57, 97.86194059015351)	(58, 97.86318177563996)	(59, 97.86345014006946)	(60, 97.86385268671371)	(61, 97.86455714334116)	(62, 97.86506032664647)	(63, 97.86542932773705)
SRR18856108_1 - illumina_small_rna_3'_adapter	(1, 0.0013001147815621436)	(2, 1.638144624768301)	(3, 1.8061070725005912)	(4, 2.0700922833854)	(5, 2.66659732721165)	(6, 3.3342062675438107)	(7, 4.596586765326806)	(8, 5.8722779620638885)	(9, 7.109058580695648)	(10, 8.728753957611305)	(11, 10.408130794023434)	(12, 12.025937908994441)	(13, 13.273986189066406)	(14, 14.233316122290034)	(15, 15.113493829407606)	(16, 15.89235544890487)	(17, 17.036270725996477)	(18, 18.80074317037323)	(19, 22.083625859159184)	(20, 30.88274079054408)	(21, 49.24203308234927)	(22, 55.29521272973338)	(23, 60.204012773318176)	(24, 64.82304199618386)	(25, 68.89314418520568)	(26, 72.15154137893889)	(27, 74.69859005647452)	(28, 77.39041580147124)	(29, 79.88527415706129)	(30, 82.42597703625835)	(31, 84.98249797863106)	(32, 87.38566728700715)	(33, 89.65464617685771)	(34, 92.47431654204138)	(35, 93.9113767472614)	(36, 94.9138890643012)	(37, 95.66578877963798)	(38, 96.2554527433041)	(39, 96.70439475942305)	(40, 97.06071907491261)	(41, 97.3890909225986)	(42, 97.56463737322333)	(43, 97.65951479716352)	(44, 97.73498336472181)	(45, 97.79190981908593)	(46, 97.83958069440988)	(47, 97.87084535939506)	(48, 97.8808748162814)	(49, 97.89105904873696)	(50, 97.89771439821402)	(51, 97.89981934595559)	(52, 97.90121232607869)	(53, 97.90211002438025)	(54, 97.90291485734026)	(55, 97.9034101391618)	(56, 97.90378160052796)	(57, 97.90399828632489)	(58, 97.90415306189414)	(59, 97.90430783746336)	(60, 97.9044007028049)	(61, 97.90446261303259)	(62, 97.90467929882952)	(63, 97.90474120905722)
