Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
SRR18856095_1	(15.0, 1.0)	(16.0, 1.0)	(17.0, 9.0)	(18.0, 18.0)	(19.0, 23.0)	(20.0, 173.0)	(21.0, 856.0)	(22.0, 2767.0)	(23.0, 7268.0)	(24.0, 13607.0)	(25.0, 24004.0)	(26.0, 41440.0)	(27.0, 69372.0)	(28.0, 109115.0)	(29.0, 161534.0)	(30.0, 225973.0)	(31.0, 305386.0)	(32.0, 412626.0)	(33.0, 626744.0)	(34.0, 1319617.0)	(35.0, 1385848.0)	
SRR18856096_1	(18.0, 1.0)	(19.0, 6.0)	(20.0, 32.0)	(21.0, 135.0)	(22.0, 485.0)	(23.0, 1513.0)	(24.0, 3521.0)	(25.0, 7005.0)	(26.0, 13303.0)	(27.0, 23677.0)	(28.0, 37454.0)	(29.0, 54145.0)	(30.0, 75157.0)	(31.0, 105199.0)	(32.0, 154892.0)	(33.0, 270068.0)	(34.0, 716465.0)	(35.0, 1157058.0)				
SRR18856097_1	(15.0, 1.0)	(16.0, 2.0)	(17.0, 4.0)	(18.0, 9.0)	(19.0, 16.0)	(20.0, 89.0)	(21.0, 491.0)	(22.0, 1762.0)	(23.0, 5256.0)	(24.0, 13095.0)	(25.0, 29859.0)	(26.0, 60005.0)	(27.0, 106476.0)	(28.0, 173575.0)	(29.0, 251631.0)	(30.0, 333092.0)	(31.0, 469971.0)	(32.0, 790757.0)	(33.0, 1426059.0)	(34.0, 2088064.0)	(35.0, 1460052.0)	
SRR18856098_1	(15.0, 1.0)	(16.0, 0.0)	(17.0, 3.0)	(18.0, 7.0)	(19.0, 20.0)	(20.0, 72.0)	(21.0, 282.0)	(22.0, 1011.0)	(23.0, 2719.0)	(24.0, 6643.0)	(25.0, 14926.0)	(26.0, 29031.0)	(27.0, 51787.0)	(28.0, 80966.0)	(29.0, 119153.0)	(30.0, 167654.0)	(31.0, 239514.0)	(32.0, 366721.0)	(33.0, 685421.0)	(34.0, 2054415.0)	(35.0, 2149208.0)	
SRR18856099_1	(15.0, 1.0)	(16.0, 2.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 20.0)	(20.0, 89.0)	(21.0, 434.0)	(22.0, 1562.0)	(23.0, 3891.0)	(24.0, 6887.0)	(25.0, 11068.0)	(26.0, 17498.0)	(27.0, 28141.0)	(28.0, 43215.0)	(29.0, 63650.0)	(30.0, 91044.0)	(31.0, 130948.0)	(32.0, 205449.0)	(33.0, 384496.0)	(34.0, 1063699.0)	(35.0, 1466966.0)	
SRR18856100_1	(16.0, 1.0)	(17.0, 1.0)	(18.0, 5.0)	(19.0, 24.0)	(20.0, 107.0)	(21.0, 437.0)	(22.0, 1604.0)	(23.0, 4072.0)	(24.0, 8581.0)	(25.0, 15527.0)	(26.0, 28474.0)	(27.0, 48594.0)	(28.0, 76016.0)	(29.0, 112360.0)	(30.0, 159760.0)	(31.0, 226270.0)	(32.0, 342546.0)	(33.0, 602240.0)	(34.0, 1558515.0)	(35.0, 3219638.0)		
SRR18856101_1	(16.0, 2.0)	(17.0, 4.0)	(18.0, 10.0)	(19.0, 27.0)	(20.0, 134.0)	(21.0, 656.0)	(22.0, 2650.0)	(23.0, 7818.0)	(24.0, 19241.0)	(25.0, 41212.0)	(26.0, 79265.0)	(27.0, 135483.0)	(28.0, 215062.0)	(29.0, 329159.0)	(30.0, 516721.0)	(31.0, 827280.0)	(32.0, 1426035.0)	(33.0, 2268159.0)	(34.0, 2769030.0)	(35.0, 2462199.0)		
SRR18856102_1	(17.0, 1.0)	(18.0, 2.0)	(19.0, 11.0)	(20.0, 81.0)	(21.0, 601.0)	(22.0, 2173.0)	(23.0, 5354.0)	(24.0, 9100.0)	(25.0, 13091.0)	(26.0, 19676.0)	(27.0, 31222.0)	(28.0, 47394.0)	(29.0, 70024.0)	(30.0, 100161.0)	(31.0, 144923.0)	(32.0, 222817.0)	(33.0, 415786.0)	(34.0, 1205881.0)	(35.0, 1853827.0)			
SRR18856103_1	(16.0, 3.0)	(17.0, 4.0)	(18.0, 6.0)	(19.0, 26.0)	(20.0, 152.0)	(21.0, 1065.0)	(22.0, 3627.0)	(23.0, 8269.0)	(24.0, 13427.0)	(25.0, 19232.0)	(26.0, 29828.0)	(27.0, 45759.0)	(28.0, 67868.0)	(29.0, 98330.0)	(30.0, 138680.0)	(31.0, 194917.0)	(32.0, 297532.0)	(33.0, 544611.0)	(34.0, 1570925.0)	(35.0, 2394892.0)		
SRR18856104_1	(16.0, 1.0)	(17.0, 2.0)	(18.0, 6.0)	(19.0, 19.0)	(20.0, 74.0)	(21.0, 337.0)	(22.0, 1262.0)	(23.0, 3429.0)	(24.0, 6990.0)	(25.0, 13562.0)	(26.0, 25618.0)	(27.0, 43843.0)	(28.0, 68467.0)	(29.0, 100495.0)	(30.0, 143245.0)	(31.0, 203053.0)	(32.0, 309204.0)	(33.0, 556359.0)	(34.0, 1534860.0)	(35.0, 2786306.0)		
SRR18856105_1	(15.0, 1.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 2.0)	(19.0, 14.0)	(20.0, 83.0)	(21.0, 402.0)	(22.0, 1621.0)	(23.0, 4745.0)	(24.0, 10340.0)	(25.0, 20957.0)	(26.0, 40296.0)	(27.0, 67621.0)	(28.0, 106645.0)	(29.0, 158015.0)	(30.0, 227946.0)	(31.0, 333799.0)	(32.0, 528345.0)	(33.0, 988560.0)	(34.0, 2454744.0)	(35.0, 3408373.0)	
SRR18856106_1	(16.0, 3.0)	(17.0, 2.0)	(18.0, 5.0)	(19.0, 9.0)	(20.0, 25.0)	(21.0, 170.0)	(22.0, 586.0)	(23.0, 1593.0)	(24.0, 3562.0)	(25.0, 6934.0)	(26.0, 13736.0)	(27.0, 24799.0)	(28.0, 40278.0)	(29.0, 60436.0)	(30.0, 86083.0)	(31.0, 123121.0)	(32.0, 186071.0)	(33.0, 328728.0)	(34.0, 866653.0)	(35.0, 1790797.0)		
SRR18856107_1	(16.0, 1.0)	(17.0, 3.0)	(18.0, 1.0)	(19.0, 5.0)	(20.0, 25.0)	(21.0, 96.0)	(22.0, 411.0)	(23.0, 1200.0)	(24.0, 3288.0)	(25.0, 7252.0)	(26.0, 14444.0)	(27.0, 25170.0)	(28.0, 40117.0)	(29.0, 58102.0)	(30.0, 80706.0)	(31.0, 114252.0)	(32.0, 171176.0)	(33.0, 314384.0)	(34.0, 900183.0)	(35.0, 1250205.0)		
SRR18856108_1	(16.0, 1.0)	(17.0, 2.0)	(18.0, 0.0)	(19.0, 6.0)	(20.0, 23.0)	(21.0, 103.0)	(22.0, 421.0)	(23.0, 1303.0)	(24.0, 3579.0)	(25.0, 8417.0)	(26.0, 16591.0)	(27.0, 29687.0)	(28.0, 47007.0)	(29.0, 68253.0)	(30.0, 95749.0)	(31.0, 136783.0)	(32.0, 208286.0)	(33.0, 387766.0)	(34.0, 1117046.0)	(35.0, 1109461.0)		
SRR18856109_1	(16.0, 2.0)	(17.0, 7.0)	(18.0, 5.0)	(19.0, 8.0)	(20.0, 37.0)	(21.0, 180.0)	(22.0, 716.0)	(23.0, 2138.0)	(24.0, 5258.0)	(25.0, 11028.0)	(26.0, 21534.0)	(27.0, 38223.0)	(28.0, 60725.0)	(29.0, 88835.0)	(30.0, 124809.0)	(31.0, 175441.0)	(32.0, 266805.0)	(33.0, 501958.0)	(34.0, 1550789.0)	(35.0, 1600446.0)		
SRR18856110_1	(16.0, 1.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 5.0)	(20.0, 21.0)	(21.0, 122.0)	(22.0, 452.0)	(23.0, 1224.0)	(24.0, 3122.0)	(25.0, 7351.0)	(26.0, 14666.0)	(27.0, 26138.0)	(28.0, 41492.0)	(29.0, 60349.0)	(30.0, 84106.0)	(31.0, 120142.0)	(32.0, 184919.0)	(33.0, 355786.0)	(34.0, 1125266.0)	(35.0, 955925.0)		
SRR18856111_1	(15.0, 2.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 4.0)	(19.0, 9.0)	(20.0, 42.0)	(21.0, 209.0)	(22.0, 798.0)	(23.0, 2368.0)	(24.0, 6434.0)	(25.0, 14592.0)	(26.0, 28660.0)	(27.0, 49788.0)	(28.0, 76313.0)	(29.0, 110278.0)	(30.0, 153341.0)	(31.0, 217961.0)	(32.0, 338115.0)	(33.0, 637831.0)	(34.0, 1647192.0)	(35.0, 1604006.0)	
SRR18856112_1	(16.0, 1.0)	(17.0, 3.0)	(18.0, 4.0)	(19.0, 18.0)	(20.0, 82.0)	(21.0, 462.0)	(22.0, 1628.0)	(23.0, 4648.0)	(24.0, 9773.0)	(25.0, 18735.0)	(26.0, 34697.0)	(27.0, 58080.0)	(28.0, 89596.0)	(29.0, 130055.0)	(30.0, 183699.0)	(31.0, 263382.0)	(32.0, 406524.0)	(33.0, 752349.0)	(34.0, 2062382.0)	(35.0, 3039092.0)		
SRR18856113_1	(15.0, 1.0)	(16.0, 0.0)	(17.0, 4.0)	(18.0, 10.0)	(19.0, 26.0)	(20.0, 100.0)	(21.0, 466.0)	(22.0, 1753.0)	(23.0, 4890.0)	(24.0, 11544.0)	(25.0, 23273.0)	(26.0, 44293.0)	(27.0, 74696.0)	(28.0, 116776.0)	(29.0, 170008.0)	(30.0, 242240.0)	(31.0, 348622.0)	(32.0, 545880.0)	(33.0, 1036564.0)	(34.0, 2889077.0)	(35.0, 3782614.0)	
SRR18856114_1	(17.0, 4.0)	(18.0, 6.0)	(19.0, 15.0)	(20.0, 78.0)	(21.0, 371.0)	(22.0, 1290.0)	(23.0, 3650.0)	(24.0, 8001.0)	(25.0, 16779.0)	(26.0, 33033.0)	(27.0, 57081.0)	(28.0, 89907.0)	(29.0, 132120.0)	(30.0, 187322.0)	(31.0, 269308.0)	(32.0, 410122.0)	(33.0, 755057.0)	(34.0, 2313485.0)	(35.0, 3630060.0)			
SRR18856115_1	(16.0, 2.0)	(17.0, 3.0)	(18.0, 10.0)	(19.0, 20.0)	(20.0, 84.0)	(21.0, 414.0)	(22.0, 1460.0)	(23.0, 4067.0)	(24.0, 9141.0)	(25.0, 18575.0)	(26.0, 35638.0)	(27.0, 61669.0)	(28.0, 96188.0)	(29.0, 140107.0)	(30.0, 198324.0)	(31.0, 282826.0)	(32.0, 436455.0)	(33.0, 822554.0)	(34.0, 2344905.0)	(35.0, 3060609.0)		
SRR18856116_1	(17.0, 3.0)	(18.0, 1.0)	(19.0, 13.0)	(20.0, 71.0)	(21.0, 348.0)	(22.0, 1461.0)	(23.0, 3688.0)	(24.0, 7534.0)	(25.0, 14466.0)	(26.0, 26741.0)	(27.0, 45243.0)	(28.0, 70164.0)	(29.0, 103843.0)	(30.0, 147003.0)	(31.0, 208568.0)	(32.0, 319058.0)	(33.0, 588901.0)	(34.0, 1762804.0)	(35.0, 2758462.0)			
SRR18856117_1	(16.0, 1.0)	(17.0, 4.0)	(18.0, 7.0)	(19.0, 21.0)	(20.0, 111.0)	(21.0, 563.0)	(22.0, 2294.0)	(23.0, 6256.0)	(24.0, 13309.0)	(25.0, 25903.0)	(26.0, 47808.0)	(27.0, 81314.0)	(28.0, 124815.0)	(29.0, 182742.0)	(30.0, 258731.0)	(31.0, 369855.0)	(32.0, 572503.0)	(33.0, 1090574.0)	(34.0, 3126939.0)	(35.0, 3782476.0)		
SRR18856118_1	(16.0, 2.0)	(17.0, 2.0)	(18.0, 8.0)	(19.0, 20.0)	(20.0, 121.0)	(21.0, 538.0)	(22.0, 1852.0)	(23.0, 4817.0)	(24.0, 9778.0)	(25.0, 18575.0)	(26.0, 35491.0)	(27.0, 62085.0)	(28.0, 97434.0)	(29.0, 144402.0)	(30.0, 204469.0)	(31.0, 293314.0)	(32.0, 443109.0)	(33.0, 812816.0)	(34.0, 2407214.0)	(35.0, 3776751.0)		
SRR18856119_1	(17.0, 1.0)	(18.0, 2.0)	(19.0, 5.0)	(20.0, 36.0)	(21.0, 168.0)	(22.0, 553.0)	(23.0, 1563.0)	(24.0, 3762.0)	(25.0, 8408.0)	(26.0, 16663.0)	(27.0, 29400.0)	(28.0, 47042.0)	(29.0, 69587.0)	(30.0, 97603.0)	(31.0, 140446.0)	(32.0, 214388.0)	(33.0, 400292.0)	(34.0, 1124647.0)	(35.0, 1487025.0)			
SRR18856120_1	(17.0, 2.0)	(18.0, 4.0)	(19.0, 13.0)	(20.0, 34.0)	(21.0, 146.0)	(22.0, 590.0)	(23.0, 1738.0)	(24.0, 4411.0)	(25.0, 9626.0)	(26.0, 19159.0)	(27.0, 33828.0)	(28.0, 55426.0)	(29.0, 81330.0)	(30.0, 114310.0)	(31.0, 161549.0)	(32.0, 244684.0)	(33.0, 450281.0)	(34.0, 1325891.0)	(35.0, 1655195.0)			
SRR18856121_1	(16.0, 1.0)	(17.0, 5.0)	(18.0, 3.0)	(19.0, 1.0)	(20.0, 34.0)	(21.0, 110.0)	(22.0, 428.0)	(23.0, 1324.0)	(24.0, 3290.0)	(25.0, 7239.0)	(26.0, 15583.0)	(27.0, 28550.0)	(28.0, 46751.0)	(29.0, 69572.0)	(30.0, 99096.0)	(31.0, 140485.0)	(32.0, 210124.0)	(33.0, 368708.0)	(34.0, 960299.0)	(35.0, 1564007.0)		
SRR18856122_1	(16.0, 3.0)	(17.0, 6.0)	(18.0, 7.0)	(19.0, 17.0)	(20.0, 71.0)	(21.0, 386.0)	(22.0, 1433.0)	(23.0, 3791.0)	(24.0, 7576.0)	(25.0, 15591.0)	(26.0, 30941.0)	(27.0, 54471.0)	(28.0, 86333.0)	(29.0, 129221.0)	(30.0, 185646.0)	(31.0, 266594.0)	(32.0, 407950.0)	(33.0, 754957.0)	(34.0, 2303221.0)	(35.0, 3634463.0)		
SRR18856123_1	(16.0, 1.0)	(17.0, 3.0)	(18.0, 9.0)	(19.0, 16.0)	(20.0, 55.0)	(21.0, 333.0)	(22.0, 1216.0)	(23.0, 3631.0)	(24.0, 7812.0)	(25.0, 15218.0)	(26.0, 30043.0)	(27.0, 51602.0)	(28.0, 82331.0)	(29.0, 123025.0)	(30.0, 179888.0)	(31.0, 266470.0)	(32.0, 419497.0)	(33.0, 763737.0)	(34.0, 1861127.0)	(35.0, 2714487.0)		
SRR18856124_1	(14.0, 1.0)	(15.0, 1.0)	(16.0, 2.0)	(17.0, 2.0)	(18.0, 6.0)	(19.0, 11.0)	(20.0, 67.0)	(21.0, 340.0)	(22.0, 1275.0)	(23.0, 3501.0)	(24.0, 7518.0)	(25.0, 14797.0)	(26.0, 27932.0)	(27.0, 47718.0)	(28.0, 75493.0)	(29.0, 111991.0)	(30.0, 160675.0)	(31.0, 232588.0)	(32.0, 363041.0)	(33.0, 671461.0)	(34.0, 1710370.0)	(35.0, 2445876.0)
SRR18856125_1	(18.0, 5.0)	(19.0, 6.0)	(20.0, 37.0)	(21.0, 180.0)	(22.0, 673.0)	(23.0, 1685.0)	(24.0, 3946.0)	(25.0, 8070.0)	(26.0, 15815.0)	(27.0, 28053.0)	(28.0, 45354.0)	(29.0, 67898.0)	(30.0, 96670.0)	(31.0, 139523.0)	(32.0, 209804.0)	(33.0, 371619.0)	(34.0, 996359.0)	(35.0, 2036234.0)				
SRR18856126_1	(16.0, 2.0)	(17.0, 3.0)	(18.0, 3.0)	(19.0, 12.0)	(20.0, 25.0)	(21.0, 187.0)	(22.0, 679.0)	(23.0, 2042.0)	(24.0, 4722.0)	(25.0, 10123.0)	(26.0, 20671.0)	(27.0, 37205.0)	(28.0, 60116.0)	(29.0, 90669.0)	(30.0, 130286.0)	(31.0, 188260.0)	(32.0, 290335.0)	(33.0, 551824.0)	(34.0, 1719429.0)	(35.0, 2003064.0)		
SRR18856127_1	(16.0, 1.0)	(17.0, 2.0)	(18.0, 10.0)	(19.0, 7.0)	(20.0, 75.0)	(21.0, 388.0)	(22.0, 1478.0)	(23.0, 3916.0)	(24.0, 8319.0)	(25.0, 16579.0)	(26.0, 31636.0)	(27.0, 56140.0)	(28.0, 88556.0)	(29.0, 132023.0)	(30.0, 189429.0)	(31.0, 273122.0)	(32.0, 421213.0)	(33.0, 798749.0)	(34.0, 2384661.0)	(35.0, 3515265.0)		
SRR18856128_1	(17.0, 4.0)	(18.0, 7.0)	(19.0, 10.0)	(20.0, 38.0)	(21.0, 267.0)	(22.0, 956.0)	(23.0, 2707.0)	(24.0, 6278.0)	(25.0, 13209.0)	(26.0, 25996.0)	(27.0, 45594.0)	(28.0, 72956.0)	(29.0, 109136.0)	(30.0, 156845.0)	(31.0, 227364.0)	(32.0, 354488.0)	(33.0, 672393.0)	(34.0, 1919815.0)	(35.0, 2684679.0)			
SRR18856129_1	(17.0, 5.0)	(18.0, 4.0)	(19.0, 11.0)	(20.0, 56.0)	(21.0, 318.0)	(22.0, 1109.0)	(23.0, 3162.0)	(24.0, 7158.0)	(25.0, 14915.0)	(26.0, 30159.0)	(27.0, 52844.0)	(28.0, 84049.0)	(29.0, 123994.0)	(30.0, 175540.0)	(31.0, 247500.0)	(32.0, 369054.0)	(33.0, 653447.0)	(34.0, 1856876.0)	(35.0, 3765152.0)			
SRR18856130_1	(15.0, 2.0)	(16.0, 3.0)	(17.0, 6.0)	(18.0, 11.0)	(19.0, 18.0)	(20.0, 122.0)	(21.0, 669.0)	(22.0, 2629.0)	(23.0, 6745.0)	(24.0, 13059.0)	(25.0, 24829.0)	(26.0, 45021.0)	(27.0, 76394.0)	(28.0, 121228.0)	(29.0, 180613.0)	(30.0, 260729.0)	(31.0, 377702.0)	(32.0, 584114.0)	(33.0, 1097090.0)	(34.0, 3491970.0)	(35.0, 4957374.0)	
